ATC_1,ATC_2,ATC_3,ATC_4,ATC_5,ATC_6,ATC_7,ATC_8,target
2.57E-01,0.503731343,0.078358209,0.145522388,0.014925373,2.56E+02,232,2.40E+01,1
0.26300578,0.527456647,0.070809249,1.26E-01,0.01300578,6.64E+02,612,52,1
0.255033557,0.510067114,0.071588367,0.156599553,0.006711409,425,387,38,1
0.27,0.5,0.066666667,0.143333333,0.02,286,256,30,1
0.245119306,0.51626898,0.078091106,0.147505423,0.013015184,436,399,37,1
0.268656716,0.526458616,0.067842605,0.127544098,0.009497965,703,640,63,1
0.261788618,0.520325203,0.081300813,0.126829268,0.009756098,588,535,53,1
0.260869565,0.538043478,0.065217391,0.130434783,0.005434783,350,323,27,1
0.258064516,0.539589443,0.064516129,0.137829912,0,322,296,26,1
0.262476895,0.502772643,0.073937153,0.146025878,0.014787431,515,463,52,1
0.257777778,0.537777778,0.071111111,1.20E-01,0.013333333,4.31E+02,401,30,1
0.248153619,0.52437223,0.084194978,0.131462334,0.011816839,643,590,53,1
0.254612546,4.83E-01,0.070110701,0.169741697,0.022140221,257,230,27,1
0.27677497,5.03E-01,0.069795427,0.138387485,0.012033694,800,719,8.10E+01,1
0.271698113,0.545283019,0.069811321,0.111320755,0.001886792,507,466,41,1
0.264175258,0.507731959,0.074742268,1.43E-01,0.010309278,7.40E+02,667,7.30E+01,1
0.271646859,0.519524618,0.078098472,0.118845501,0.01188455,567,515,52,1
0.265503876,0.501937984,0.067829457,0.153100775,0.011627907,492,443,49,1
0.248417722,0.522151899,0.075949367,0.148734177,0.004746835,599,550,49,1
0.273234201,0.542750929,0.07063197,0.109665428,0.003717472,517,476,41,1
0.230496454,0.510638298,0.09929078,0.145390071,0.014184397,265,241,24,1
0.245042493,0.521246459,0.090651558,0.135977337,0.007082153,668,609,59,1
0.268145161,0.508064516,7.26E-02,0.143145161,0.008064516,475,429,46,1
0.259593679,0.514672686,0.074492099,0.138826185,0.01241535,843,765,78,1
0.256684492,0.540106952,6.42E-02,0.139037433,0.00E+00,353,325,28,1
0.250980392,0.478431373,0.070588235,0.176470588,0.023529412,2.41E+02,2.15E+02,26,1
0.25,0.534313725,0.073529412,1.40E-01,0.00245098,3.86E+02,3.56E+02,30,1
0.273921201,5.03E-01,0.067542214,1.44E-01,0.011257036,5.11E+02,4.59E+02,52,1
0.273918742,0.519003932,0.068152031,0.133682831,0.005242464,731,662,69,1
0.257518797,0.522556391,0.071428571,0.140977444,0.007518797,506,463,43,1
0.248529412,0.517647059,0.082352941,0.145588235,0.005882353,6.44E+02,5.87E+02,57,1
0.275387263,0.506024096,0.075731497,0.13080895,0.012048193,558,500,58,1
0.242544732,0.508946322,0.083499006,0.153081511,0.011928429,474,430,44,1
0.249084249,0.512820513,0.076923077,0.15018315,0.010989011,518,473,45,1
2.52E-01,0.512676056,7.32E-02,0.149295775,0.012676056,673,613,60,1
0.287654321,5.11E-01,0.066666667,0.124691358,0.009876543,782,701,81,1
0.2608,0.5296,0.0688,1.34E-01,0.0064,5.95E+02,546,49,1
0.252971138,0.512733447,0.078098472,0.142614601,0.013582343,559,508,51,1
0.251121076,0.511210762,0.080717489,0.144992526,0.011958146,636,579,57,1
0.237288136,0.525423729,0.089588378,1.31E-01,0.016949153,389,357,32,1
0.243956044,0.501098901,0.079120879,0.162637363,0.013186813,429,388,41,1
0.240768095,0.52437223,0.090103397,1.39E-01,0.005908419,638,583,55,1
0.258503401,0.496598639,0.074829932,0.153061224,0.017006803,280,252,28,1
2.62E-01,0.521678322,8.25E-02,1.23E-01,0.011188811,685,625,60,1
0.251798561,0.517985612,0.082733813,0.134892086,0.012589928,529,483,46,1
0.255725191,0.52480916,0.070610687,0.13740458,0.011450382,497,455,42,1
0.278592375,0.551319648,0.064516129,0.105571848,0,328,303,25,1
0.250867052,0.515606936,0.083236994,0.139884393,0.010404624,823,751,72,1
0.276292335,0.513368984,0.071301248,0.137254902,1.78E-03,538,4.84E+02,54,1
0.249244713,0.540785498,0.072507553,0.125377644,0.012084592,6.28E+02,584,44,1
0.281842818,0.528455285,0.073170732,0.113821138,0.002710027,357,325,32,1
0.274336283,0.50619469,0.074336283,0.134513274,0.010619469,542,486,56,1
0.262975779,0.522491349,0.076124567,0.128027682,0.010380623,554,507,47,1
0.264583333,5.33E-01,0.066666667,0.120833333,0.014583333,458,4.21E+02,37,1
0.24952381,5.22E-01,0.083809524,1.31E-01,0.013333333,5.00E+02,459,4.10E+01,1
0.277161863,0.507760532,0.077605322,0.130820399,0.006651885,865,772,93,1
0.262975779,0.529411765,0.069204152,0.134948097,0.003460208,551,505,46,1
0.260217984,0.550408719,0.070844687,1.13E-01,5.45E-03,702,655,47,1
0.259689922,0.496124031,0.07751938,0.147286822,0.019379845,247,223,24,1
0.27092511,0.522026432,0.068281938,0.134361233,0.004405286,434,3.94E+02,40,1
0.290268456,0.505033557,6.54E-02,1.29E-01,0.010067114,5.75E+02,5.12E+02,63,1
0.254054054,5.54E-01,7.30E-02,0.114864865,4.05E-03,7.04E+02,658,46,1
0.253554502,0.507109005,0.09478673,0.13507109,0.009478673,403,364,39,1
0.241935484,0.512903226,0.093548387,0.138709677,0.012903226,294,268,26,1
0.253652058,0.532536521,0.065073041,0.142098274,0.006640106,712,656,56,1
0.26032316,0.50448833,0.080789946,0.143626571,0.010771993,5.32E+02,480,52,1
0.257238307,0.5155902,0.081291759,0.135857461,0.010022272,857,780,77,1
0.247272727,0.509090909,1.02E-01,1.27E-01,0.014545455,263,239,24,1
0.241699867,5.23E-01,9.30E-02,1.35E-01,0.006640106,713,6.53E+02,6.00E+01,1
0.302238806,0.496268657,0.063432836,0.123134328,0.014925373,261,231,30,1
0.29787234,0.514184397,0.067375887,0.117021277,0.003546099,274,2.45E+02,29,1
0.246200608,0.525835866,0.082066869,0.130699088,0.015197568,312,287,25,1
0.24962406,0.520300752,0.087218045,0.136842105,0.006015038,6.32E+02,577,55,1
0.256800871,0.549510337,0.077257889,0.116430903,0,874,810,64,1
0.258017493,0.518950437,0.075801749,0.135568513,0.011661808,653,595,58,1
0.275132275,0.497354497,0.077601411,0.135802469,0.014109347,545,486,59,1
0.252747253,0.51177394,0.087912088,0.131868132,0.015698587,606,549,57,1
0.251509054,0.513078471,0.078470825,0.142857143,0.014084507,472,430,42,1
0.274685817,0.524236984,0.061041293,0.127468582,0.012567325,533,485,48,1
0.268707483,0.518707483,0.073129252,0.12755102,0.011904762,564,513,51,1
0.268326418,0.514522822,0.071922545,0.132780083,0.012448133,692,627,65,1
0.258426966,5.20E-01,7.58E-02,0.140449438,0.005617978,338,307,31,1
0.283783784,0.503861004,0.063706564,0.137065637,0.011583012,499,447,52,1
0.274058577,0.520920502,0.085774059,0.110878661,0.008368201,461,4.17E+02,4.40E+01,1
0.249492901,5.21E-01,0.087221095,0.127789047,0.014198783,4.70E+02,431,39,1
0.25382263,0.510703364,0.082568807,0.140672783,0.012232416,313,286,27,1
0.25095057,0.517110266,0.079847909,0.144486692,0.007604563,501,459,42,1
0.269592476,0.521943574,0.073667712,0.128526646,0.006269592,610,553,57,1
0.241187384,0.512059369,0.066790353,1.69E-01,0.011131725,505,461,44,1
0.273542601,0.531390135,0.065022422,0.123318386,0.006726457,427,390,37,1
0.244444444,0.530718954,0.067973856,0.149019608,0.007843137,720,665,55,1
0.257971014,5.13E-01,0.07826087,1.41E-01,0.010144928,657,5.96E+02,61,1
0.274509804,0.498039216,0.074509804,0.129411765,0.023529412,246,221,25,1
0.266666667,0.511666667,0.081666667,0.133333333,0.006666667,574,517,57,1
0.26975945,0.510309278,0.070446735,0.137457045,0.012027491,557,503,54,1
0.244377811,0.524737631,0.071964018,0.145427286,0.013493253,629,579,50,1
0.262222222,0.517777778,0.064444444,0.14,0.015555556,428,390,38,1
0.254901961,0.513071895,0.088235294,0.124183007,0.019607843,292,265,27,1
0.253549696,0.507099391,0.077079108,0.15010142,0.012170385,469,426,43,1
0.242120344,0.521489971,0.088825215,0.141833811,0.005730659,6.60E+02,604,56,1
0.247191011,0.516853933,0.080898876,0.141573034,0.013483146,422,386,36,1
0.277486911,0.516579407,0.062827225,0.132635253,0.010471204,550,498,52,1
0.272058824,0.507352941,0.058823529,0.139705882,0.022058824,261,237,24,1
0.275,0.522916667,0.06875,0.133333333,0,461,419,42,1
0.265263158,0.528421053,0.069473684,0.124210526,0.012631579,453,414,39,1
0.258152174,5.11E-01,0.076086957,0.144021739,1.09E-02,700,6.34E+02,66,1
0.265206813,0.532846715,0.090024331,0.111922141,0,396,363,33,1
0.259150805,0.524158126,0.0761347,0.136163982,0.004392387,650,593,57,1
0.250922509,0.522140221,0.08302583,0.132841328,0.011070111,518,477,41,1
0.274074074,0.496296296,0.074074074,0.140740741,0.014814815,260,233,27,1
0.25,0.519230769,0.085164835,0.133241758,0.012362637,691,630,61,1
0.259150805,0.524158126,0.079062958,0.128843338,0.008784773,651,594,57,1
0.253488372,0.520930233,0.08372093,0.130232558,0.011627907,4.09E+02,373,36,1
0.260029718,0.534918276,0.071322437,0.124814264,0.008915305,641,590,51,1
0.26044226,0.538083538,0.081081081,1.08E-01,0.012285012,3.90E+02,360,30,1
0.273522976,0.501094092,0.076586433,0.135667396,0.013129103,440,395,45,1
0.241435563,0.528548124,0.094616639,0.125611746,0.009787928,582,536,46,1
0.253863135,0.514348786,0.072847682,0.134657837,0.024282561,431,394,37,1
0.276595745,0.49787234,0.080851064,0.123404255,0.021276596,227,203,24,1
0.251445087,5.30E-01,7.37E-02,0.134393064,1.01E-02,6.57E+02,6.06E+02,51,1
0.259475219,0.523323615,0.06851312,0.141399417,0.00728863,6.54E+02,600,5.40E+01,1
0.257692308,0.503846154,0.073076923,0.142307692,0.023076923,249,227,22,1
0.269366197,0.503521127,0.088028169,0.128521127,0.01056338,545,487,58,1
0.247848537,0.51979346,0.079173838,0.142857143,0.010327022,550,503,47,1
0.261637239,0.515248796,0.07223114,0.138041734,0.012841091,595,542,53,1
0.258730159,0.501587302,0.079365079,0.150793651,0.00952381,602,544,58,1
0.259587021,0.533923304,0.073746313,0.126843658,0.005899705,322,295,27,1
0.251177394,0.518053375,0.081632653,0.142857143,0.006279435,604,550,54,1
0.261437908,5.08E-01,7.71E-02,0.14248366,0.010457516,729,6.58E+02,71,1
0.256814921,0.509325681,0.076040172,0.144906743,0.012912482,6.61E+02,597,6.40E+01,1
0.260638298,0.513297872,0.093085106,0.122340426,0.010638298,3.62E+02,3.29E+02,33,1
0.260456274,0.532319392,0.068441065,0.127376426,0.011406844,500,459,41,1
0.259615385,0.514423077,0.072115385,0.141025641,0.012820513,594,540,54,1
0.243735763,0.512528474,0.079726651,1.50E-01,0.013667426,4.14E+02,377,37,1
0.279569892,0.508960573,0.071684588,0.11827957,0.021505376,2.70E+02,244,26,1
0.258164852,0.524105754,0.073094868,0.133748056,0.01088647,612,560,52,1
0.265356265,0.528255528,0.081081081,0.116707617,0.008599509,782,716,66,1
0.238586156,0.521354934,0.088365243,0.144329897,0.00736377,640,586,54,1
0.25154321,0.50617284,0.077160494,0.151234568,0.013888889,617,562,55,1
0.259689922,0.520671835,0.07881137,0.130490956,0.010335917,7.37E+02,670,6.70E+01,1
0.270522388,0.520522388,0.069029851,0.138059701,0.001865672,511,462,49,1
0.265895954,0.526011561,0.07283237,0.124855491,0.010404624,828,757,71,1
0.244027304,0.530716724,0.076791809,0.141638225,0.006825939,553,510,43,1
0.247588424,0.508038585,0.083601286,0.147909968,0.012861736,295,268,27,1
0.255639098,0.512781955,0.076691729,0.142857143,0.012030075,6.34E+02,5.78E+02,56,1
0.270541082,0.503006012,0.082164329,0.130260521,0.014028056,479,429,50,1
0.249385749,0.514742015,0.08968059,0.14004914,0.006142506,774,704,70,1
0.241316271,0.531992687,0.08226691,0.131627057,0.012797075,517,478,39,1
0.256521739,0.520289855,0.085507246,0.128985507,0.008695652,658,599,59,1
0.271317829,0.49870801,0.080103359,0.134366925,0.015503876,372,3.33E+02,39,1
0.266257669,0.515337423,0.078527607,0.132515337,0.007361963,781,708,73,1
0.253267974,0.516339869,0.078431373,0.138888889,0.013071895,581,529,52,1
0.25,0.5,0.082352941,0.155882353,0.011764706,322,290,32,1
0.241463415,0.497560976,0.092682927,0.153658537,0.014634146,388,350,38,1
0.250793651,0.517460317,0.082539683,0.131746032,0.017460317,599,547,52,1
0.263492063,5.24E-01,0.066666667,0.13968254,6.35E-03,599,546,53,1
0.257261411,0.510373444,0.082987552,0.136929461,0.012448133,461,419,42,1
0.25,0.509090909,0.078787879,0.153030303,0.009090909,627,571,56,1
0.262059974,0.518904824,0.073011734,0.13559322,0.010430248,732,667,65,1
0.275747508,0.511627907,0.066445183,0.136212625,0.009966777,579,524,55,1
0.259026688,0.510204082,0.073783359,0.149136578,0.007849294,606,549,57,1
0.25528914,0.52045134,0.080394922,0.136812412,0.007052186,674,614,60,1
2.69E-01,0.514099783,0.062906725,0.140997831,0.013015184,4.39E+02,397,42,1
0.280762565,0.511265165,0.071057192,0.133448873,0.003466205,556,500,56,1
0.274853801,0.504873294,0.068226121,0.138401559,0.013645224,493,444,49,1
0.254637437,0.527824621,0.075885329,0.133220911,0.008431703,564,518,46,1
0.262396694,5.29E-01,0.061983471,1.34E-01,0.012396694,461,424,37,1
0.260078023,0.507152146,0.085825748,0.136540962,0.010403121,735,663,72,1
2.58E-01,0.509736541,8.13E-02,1.47E-01,4.58E-03,8.32E+02,753,7.90E+01,1
0.252144082,0.526586621,0.077186964,0.135506003,0.008576329,554,509,45,1
0.267924528,0.501886792,0.071698113,0.143396226,0.01509434,254,229,25,1
0.260458839,0.542510121,0.067476383,0.12145749,0.008097166,707,656,51,1
0.254205607,0.51588785,0.089719626,0.125233645,0.014953271,511,465,46,1
0.258248009,0.513083049,8.53E-02,0.134243458,9.10E-03,840,762,7.80E+01,1
0.255250404,0.510500808,0.071082391,0.151857835,0.011308562,587,533,54,1
0.266409266,0.526383526,0.078507079,0.123552124,0.005148005,743,676,67,1
0.248407643,0.515923567,0.082802548,0.130573248,0.022292994,299,274,25,1
0.249185668,0.519543974,0.092833876,0.131921824,0.006514658,583,530,53,1
0.252204586,5.03E-01,0.075837743,1.55E-01,0.014109347,5.38E+02,487,51,1
0.266362253,0.505327245,0.066971081,0.149162861,0.01217656,627,566,61,1
0.268263473,0.532934132,0.070658683,0.120958084,0.007185629,799,732,67,1
0.251327434,0.534513274,0.077876106,0.123893805,0.012389381,536,494,42,1
0.258741259,0.524475524,0.06993007,0.146853147,0,272,249,23,1
0.255462185,0.517647059,0.07394958,0.142857143,1.01E-02,5.65E+02,515,5.00E+01,1
0.251506024,0.528614458,8.58E-02,0.120481928,0.013554217,634,5.84E+02,50,1
0.249185668,5.18E-01,0.081433225,0.138436482,0.013029316,582,531,5.10E+01,1
0.276315789,0.520676692,0.065789474,0.129699248,0.007518797,509,460,49,1
0.242897727,0.509943182,0.078125,0.154829545,0.014204545,665,607,58,1
0.256227758,0.523131673,0.072360617,0.141162515,0.007117438,801,733,68,1
0.234449761,0.511961722,0.090909091,0.148325359,0.014354067,394,360,34,1
0.270310192,0.518463811,0.072378139,0.134416544,0.004431315,6.49E+02,589,6.00E+01,1
0.248175182,0.522627737,0.084671533,0.137226277,0.00729927,650,595,55,1
0.262479871,0.507246377,0.072463768,0.148148148,0.009661836,5.93E+02,5.37E+02,56,1
0.284697509,5.05E-01,7.83E-02,1.17E-01,0.014234875,271,241,3.00E+01,1
