ATC_1,ATC_2,ATC_3,ATC_4,ATC_5,ATC_6,ATC_7,ATC_8,target
0.250526316,0.522105263,7.16E-02,0.143157895,0.012631579,449,4.11E+02,38,1
0.275297619,0.511904762,0.068452381,0.132440476,0.011904762,646,584,62,1
0.27749577,0.499153976,0.086294416,0.126903553,0.010152284,571,509,62,1
0.256449165,0.515933232,0.084977238,0.13353566,0.009104704,628,570,58,1
0.252468265,0.513399154,0.076163611,0.14809591,0.009873061,673,613,60,1
0.240165631,5.13E-01,7.87E-02,1.55E-01,0.01242236,455,416,39,1
0.250379363,0.53414264,0.078907436,0.125948407,0.010622155,626,578,4.80E+01,1
0.255009107,0.517304189,0.083788707,0.136612022,0.007285974,524,478,46,1
0.251602564,0.522435897,0.08974359,0.129807692,0.006410256,593,540,53,1
0.255369928,0.50477327,8.23E-02,0.146778043,0.010739857,799,723,7.60E+01,1
0.259968102,0.513556619,0.076555024,0.138755981,0.011164274,598,543,5.50E+01,1
0.262019231,0.525240385,0.082932692,0.125,0.004807692,794,722,72,1
0.259659969,0.530139104,0.072642968,0.128284389,9.27E-03,6.15E+02,563,52,1
0.266240682,0.533546326,0.062832801,0.132055378,0.005324814,894,820,74,1
0.251082251,0.519480519,0.077922078,0.138528139,0.012987013,440,404,36,1
0.273402675,0.517087667,0.071322437,0.132243685,0.005943536,645,583,62,1
0.262357414,5.03E-01,0.067173638,0.150823828,0.016476553,749,674,7.50E+01,1
0.280431433,0.48844376,0.069337442,0.152542373,0.009244992,623,551,72,1
0.270061728,0.509259259,0.077160494,0.134259259,0.009259259,621,559,62,1
0.263959391,0.517766497,7.61E-02,0.126903553,0.015228426,3.77E+02,343,34,1
0.265676568,0.52640264,0.074257426,0.123762376,0.00990099,579,528,51,1
0.271067416,0.519662921,0.075842697,0.122191011,0.011235955,684,621,63,1
0.263327948,0.520193861,0.071082391,0.134087237,0.011308562,591,539,52,1
0.259365994,0.521613833,0.07204611,0.141210375,0.005763689,330,301,29,1
0.26031746,0.522222222,0.071428571,0.13968254,0.006349206,601,550,51,1
0.268691589,0.523364486,0.079439252,0.120327103,0.00817757,823,750,73,1
0.25862069,0.524425287,0.073275862,0.132183908,0.011494253,6.64E+02,6.09E+02,55,1
0.26146789,0.513761468,0.082568807,0.142201835,0,416,376,40,1
0.272251309,5.25E-01,7.50E-02,0.115183246,0.012216405,5.51E+02,502,49,1
0.273921201,0.512195122,0.065666041,0.1369606,0.011257036,509,458,51,1
0.27654321,0.511111111,0.066666667,0.133333333,0.012345679,389,351,38,1
0.262536873,0.492625369,0.073746313,0.15339233,0.017699115,323,289,34,1
2.69E-01,5.16E-01,8.60E-02,0.117340287,0.011734029,738,668,70,1
0.2470726,5.29E-01,0.088992974,1.28E-01,0.007025761,811,745,66,1
0.269578313,0.527108434,0.063253012,0.129518072,0.010542169,634,579,55,1
0.261702128,5.06E-01,7.66E-02,1.43E-01,0.012765957,4.48E+02,404,44,1
0.254368932,0.497087379,0.073786408,0.163106796,1.17E-02,489,441,48,1
0.277955272,0.511182109,0.07028754,0.129392971,0.011182109,603,544,59,1
0.253968254,0.515262515,0.080586081,0.14041514,0.00976801,778,707,71,1
