pseAAC_1,pseAAC_2,pseAAC_3,pseAAC_4,pseAAC_5,pseAAC_6,pseAAC_7,pseAAC_8,pseAAC_9,pseAAC_10,pseAAC_11,pseAAC_12,pseAAC_13,pseAAC_14,pseAAC_15,pseAAC_16,pseAAC_17,pseAAC_18,pseAAC_19,pseAAC_20,pseAAC_21,pseAAC_22,pseAAC_23,pseAAC_24,pseAAC_25,pseAAC_26,pseAAC_27,pseAAC_28,pseAAC_29,pseAAC_30,target
0.000724825,0.00086979,0,0,0,0.00028993,0,0,0.00028993,0.00028993,0,0.000434895,0.000144965,0,0,0.00028993,0.000434895,0.000144965,0,0.00028993,0.088397014,0.108342338,0.076355602,0.10433899,0.08835075,0.128993853,0.111667694,0.080120425,0.116317992,0.092911356,1
0.000253771,0.000676723,0.000169181,8.46E-05,0.000169181,0.000169181,0,8.46E-05,0.000253771,0.000169181,0,0,0.000338362,0,8.46E-05,0.000422952,0,0,0.000169181,0.000169181,0.115142551,0.096577641,0.114529023,0.095230978,0.114870629,0.102992997,0.068719592,0.115624154,0.083082197,0.090015802,1
7.74E-05,0.000464492,0.000232246,7.74E-05,7.74E-05,0.000232246,7.74E-05,0,0,0,0,7.74E-05,0.000154831,0,0.000309661,0,0.000154831,0.000232246,0.000309661,0,0.088126013,0.119548708,0.105637077,0.097300861,0.114376389,0.098727046,0.077764016,0.068120298,0.111613712,0.116308587,1
0.000157809,0.000473428,7.89E-05,0.000157809,0,0.000236714,0,7.89E-05,0.000157809,7.89E-05,0,0.000157809,7.89E-05,0.000236714,0.000315619,0.000157809,7.89E-05,0.000157809,7.89E-05,0.000157809,0.095827068,0.071180217,0.088289168,0.079656847,0.114225634,0.091756732,0.097874832,0.112327644,0.105225426,0.140795865,1
0,0.000966362,0.000644241,0.000322121,0,0.000644241,0.000644241,0.000322121,0,0.000322121,0.00016106,0.000483181,0.000322121,0.00016106,0,0.000483181,0.000322121,0.000966362,0,0,0.07614044,0.101934121,0.091937196,0.108122496,0.106292895,0.109449093,0.100699613,0.09162338,0.102696518,0.104339712,1
0.000115999,0.000695995,0.000115999,0.000463997,0,0.000695995,0,0,0,0.000231998,0,0,0.000231998,0.000231998,0.000231998,0.000231998,0.000115999,0.000115999,0,0,0.103994299,0.120673008,0.104014423,0.095621231,0.077207098,0.108330009,0.077164574,0.083659749,0.110644176,0.115211458,1
0.000113725,0.000682351,0.00022745,0,0.000113725,0.000568626,0.000113725,0.00022745,0.000796076,0.000113725,0.000113725,0.00022745,0.00022745,0.000113725,0.000113725,0.000113725,0.000113725,0.00022745,0,0,0.100072767,0.11951473,0.110391956,0.096651459,0.078355571,0.110711869,0.134090377,0.103689211,0.056304806,0.086009424,1
0.000131649,0.000394947,0,0.000131649,0,0.000131649,0.000263298,0.000131649,0.000131649,0.000131649,0.000131649,0.000263298,0.000131649,0,0.000394947,0.000526597,0.000658246,0.000131649,0,0.000263298,0.125372958,0.084403763,0.108419646,0.079553498,0.093455045,0.119915591,0.103457087,0.08881537,0.09346557,0.099191996,1
0.000627048,0.000358313,0.000179156,0,8.96E-05,0.000179156,8.96E-05,0.000179156,8.96E-05,0.000179156,0,0.000179156,8.96E-05,8.96E-05,0.000447891,0.000179156,8.96E-05,0,0,8.96E-05,0.090981735,0.100779431,0.113947947,0.077927271,0.072770084,0.097754711,0.087015857,0.130411033,0.123510553,0.101766138,1
9.33E-05,0.000746564,0.000186641,0.000466602,0.000186641,9.33E-05,0.000186641,9.33E-05,9.33E-05,9.33E-05,9.33E-05,9.33E-05,0.000186641,0.000279961,0.000373282,0.000839884,0.000186641,0,9.33E-05,0,0.100975955,0.108616268,0.071057466,0.102446628,0.095015141,0.105168889,0.093582642,0.107055545,0.119275815,0.09241959,1
0,0.000845778,0.000845778,0.000140963,0.000140963,0.000281926,0,0,0.000704815,0.000281926,0.000140963,0.000281926,0.000140963,0,0.000281926,0.000281926,0,0.000140963,0.000140963,0.000140963,0.124485965,0.127976465,0.070792474,0.093440299,0.117323655,0.092923903,0.076962858,0.089378403,0.125915003,0.076008231,1
0.000473106,0.000270346,0.000135173,0,0.000135173,0.000270346,6.76E-05,6.76E-05,0.00020276,0.000270346,0,0.000270346,0.000135173,6.76E-05,0.000270346,6.76E-05,6.76E-05,0.00020276,6.76E-05,6.76E-05,0.111164141,0.112397112,0.085744373,0.104242051,0.102802938,0.109888166,0.093341397,0.10763325,0.078181586,0.091496002,1
0.000135405,0.000812433,0.000135405,0.000270811,0.000270811,0.000541622,0.000135405,0.000270811,0.000270811,0.000677027,0,0.000270811,0.000135405,0.000270811,0.000135405,0.000135405,0,0.000406216,0,0,0.097185721,0.11839254,0.103910929,0.076916214,0.095795898,0.134484652,0.07866992,0.0794235,0.101817771,0.108528259,1
0.000314784,0.000314784,0.000104928,0.000629569,0.000314784,0.000209856,0,0.000419713,0.000209856,0.000734497,0.000209856,0.000209856,0.000104928,0.000209856,0.000104928,0.000419713,0.000104928,0.000524641,0,0.000104928,0.082944742,0.104251807,0.087893739,0.088898684,0.098809054,0.090961308,0.094948801,0.092336994,0.133024041,0.120684423,1
