pseAAC_1,pseAAC_2,pseAAC_3,pseAAC_4,pseAAC_5,pseAAC_6,pseAAC_7,pseAAC_8,pseAAC_9,pseAAC_10,pseAAC_11,pseAAC_12,pseAAC_13,pseAAC_14,pseAAC_15,pseAAC_16,pseAAC_17,pseAAC_18,pseAAC_19,pseAAC_20,pseAAC_21,pseAAC_22,pseAAC_23,pseAAC_24,pseAAC_25,pseAAC_26,pseAAC_27,pseAAC_28,pseAAC_29,pseAAC_30,target
0.000289309,0.001157236,0,0,0,0.000578618,0.000289309,0,0,0,0,0.000289309,0.000867927,0.000289309,0,0.000578618,0,0.000289309,0,0.000289309,0.091057132,0.089256422,0.090389788,0.16000091,0.154797848,0.11536562,0.08475824,0.093489341,0.054595935,0.061370512,1
0,0.000805651,0,0.000134275,0,0.000134275,0,0.000134275,0.000671376,0.000134275,0.000402826,0.00026855,0.000671376,0.000134275,0.000134275,0.00026855,0.000537101,0.000134275,0.000134275,0.00026855,0.125422971,0.11075467,0.073948723,0.114756933,0.086950162,0.112680831,0.08804035,0.087159237,0.109285932,0.086032007,1
0,0.000824018,0.000549345,0.000824018,0,0.000274673,0,0.000549345,0,0.000274673,0,0.000274673,0.000549345,0.000824018,0.000274673,0.000549345,0.000824018,0,0,0.000274673,0.107954826,0.106740251,0.08919261,0.092046586,0.124535853,0.065449324,0.120020598,0.128744318,0.055493096,0.102955721,1
0.0004429,0.001328699,0,0.00022145,0.00022145,0.00022145,0,0,0,0.00022145,0,0.0004429,0.00022145,0,0,0,0.00022145,0,0,0.0004429,0.063742479,0.118616771,0.074860394,0.059825332,0.109456866,0.095331395,0.075137716,0.111406831,0.156714668,0.130921453,1
0.000406477,0.001219431,0.000406477,0.000406477,0,0.000609716,0.000203239,0,0.000609716,0,0,0.000609716,0.000406477,0,0,0,0.000203239,0.000609716,0,0,0.121437306,0.102555015,0.117777236,0.092716003,0.083050984,0.106452252,0.081691191,0.117095067,0.108529474,0.063004793,1
0.000198608,0.000595824,0.000198608,0.000198608,0.000297912,0.000297912,0,0.000198608,0.000198608,2.98E-04,9.93E-05,9.93E-05,9.93E-05,9.93E-05,1.99E-04,9.93E-05,9.93E-05,0.00049652,0,0.000198608,0.085249262,0.106729675,0.107204079,0.122732364,0.077009223,0.086259819,0.082068501,0.093717012,0.126101501,0.108956405,1
0.000226088,0.000452176,0.00E+00,7.54E-05,7.54E-05,0.000301451,1.51E-04,7.54E-05,7.54E-05,0.000226088,0,0,0.000150725,0,0.000226088,0.000226088,1.51E-04,7.54E-05,7.54E-05,7.54E-05,0.088641601,0.078422804,0.110410592,0.088608538,0.117299217,0.105215823,0.135668036,0.107087747,0.095141033,0.070866916,1
0.000527797,0.000527797,0.000263899,0.000263899,0,0.000263899,0,0.000527797,0.000527797,0.000791696,0,0.000527797,0.000263899,0,0,0,0.000263899,0.000263899,0,0.000263899,0.098055985,0.106105585,0.090153347,0.102784882,0.122108789,0.099462521,0.053438284,0.136689778,0.10333179,0.082591065,1
0.00100446,0,0,0.000251115,0.000251115,0.00050223,0,0.000251115,0,0.00050223,0,0.000251115,0,0.000251115,0,0.000251115,0.00050223,0.00100446,0,0,0.064622437,0.098764069,0.104081935,0.099650185,0.098110119,0.056085576,0.0958707,0.119960324,0.143297946,0.114534411,1
0,0.000715105,0.000357552,0,0,0.000268164,0.00E+00,8.94E-05,0,0.000268164,0.00E+00,8.94E-05,0.00E+00,8.94E-05,0.000178776,2.68E-04,8.94E-05,0.00E+00,8.94E-05,0.000268164,0.122316871,0.092880097,0.103081474,0.075823007,0.11074225,0.09677958,0.080719226,0.119090737,0.113707085,0.082088642,1
